iter	Passed	Remaining
445	1975	2453
446	1977	2446
447	1980	2440
448	1983	2433
449	1990	2432
450	1992	2425
451	1996	2420
452	1998	2413
453	2004	2411
454	2007	2404
455	2009	2397
456	2012	2390
457	2014	2384
458	2019	2380
459	2022	2374
460	2024	2367
461	2027	2360
462	2029	2354
463	2034	2350
464	2036	2343
465	2039	2336
466	2041	2329
467	2043	2323
468	2047	2317
469	2050	2312
470	2052	2305
471	2055	2299
472	2057	2292
473	2060	2286
474	2063	2280
475	2065	2273
476	2068	2268
477	2071	2262
478	2078	2260
479	2081	2254
480	2084	2249
481	2086	2242
482	2093	2240
483	2096	2234
484	2098	2228
485	2101	2222
486	2106	2218
487	2109	2212
488	2111	2206
489	2114	2200
490	2116	2194
491	2121	2190
492	2124	2185
493	2127	2179
494	2129	2173
495	2132	2166
496	2137	2163
497	2139	2157
498	2142	2150
499	2144	2144
500	2146	2137
501	2150	2133
502	2153	2127
503	2156	2121
504	2158	2116
505	2161	2110
506	2166	2106
507	2169	2101
508	2171	2094
509	2174	2088
510	2176	2082
511	2181	2078
512	2184	2073
513	2186	2067
514	2189	2061
515	2191	2055
516	2199	2054
517	2201	2048
518	2205	2044
519	2208	2038
520	2211	2033
521	2214	2027
522	2217	2022
523	2224	2020
524	2227	2015
525	2230	2009
526	2233	2004
527	2240	2003
528	2243	1997
529	2245	1991
530	2247	1985
531	2250	1980
532	2253	1974
533	2256	1968
534	2258	1963
535	2261	1957
536	2264	1952
537	2267	1946
538	2270	1941
539	2278	1940
540	2280	1934
541	2283	1929
542	2286	1924
543	2294	1922
544	2297	1917
545	2311	1921
546	2315	1917
547	2326	1919
548	2331	1915
549	2333	1909
550	2341	1908
551	2344	1902
552	2347	1897
553	2349	1891
554	2358	1890
555	2362	1886
556	2364	1880
557	2367	1875
558	2374	1873
559	2376	1867
560	2379	1861
561	2382	1856
562	2390	1855
563	2392	1849
564	2395	1844
565	2397	1838
566	2402	1834
567	2404	1828
568	2407	1823
569	2409	1818
570	2545	1912
571	2555	1912
572	2567	1913
573	2573	1909
574	2585	1911
575	2640	1943
576	2651	1943
577	2654	1938
578	2657	1932
579	2664	1929
580	2666	1923
581	2669	1917
582	2672	1911
583	2676	1906
584	2683	1903
585	2685	1897
586	2688	1891
587	2695	1888
588	2698	1882
589	2700	1876
590	2703	1870
591	2709	1867
592	2712	1861
593	2714	1855
594	2717	1849
595	2719	1843
596	2730	1843
597	2733	1837
598	2742	1835
599	2744	1829
600	2747	1823
601	2749	1818
602	2755	1814
603	2759	1809
604	2761	1803
605	2764	1797
606	2770	1793
607	2773	1788
608	2775	1782
609	2779	1777
610	2786	1774
611	2789	1768
612	2792	1763
613	2795	1757
614	2800	1753
615	2807	1749
616	2810	1744
617	2816	1740
618	2820	1736
619	2823	1730
620	2826	1724
621	2832	1721
622	2835	1715
623	2837	1709
624	2839	1703
625	2841	1697
626	2846	1693
627	2849	1687
628	2852	1682
629	2855	1676
630	2859	1672
631	2864	1667
632	2866	1662
633	2869	1656
634	2871	1650
635	2877	1646
636	2880	1641
637	2882	1635
638	2884	1629
639	2887	1624
640	2892	1619
641	2894	1614
642	2897	1608
643	2899	1602
644	2901	1597
645	2907	1593
646	2909	1587
647	2912	1581
648	2914	1576
649	2916	1570
650	2919	1565
651	2924	1560
652	2926	1555
653	2928	1549
654	2931	1543
655	2934	1538
656	2938	1534
657	2941	1528
658	2944	1523
659	2946	1517
660	2952	1514
661	2956	1509
662	2958	1503
663	2960	1498
664	2963	1492
665	2967	1488
666	2970	1483
667	2972	1477
668	2975	1472
669	2977	1466
670	2982	1462
671	2985	1457
672	2988	1452
673	2997	1449
674	3002	1445
675	3008	1441
676	3013	1437
677	3015	1432
678	3018	1427
679	3022	1422
680	3027	1418
681	3031	1413
682	3045	1413
683	3048	1408
684	3057	1405
685	3060	1400
686	3062	1395
687	3065	1390
688	3072	1386
689	3075	1381
690	3078	1376
691	3080	1371
692	3088	1368
693	3091	1363
694	3094	1357
695	3097	1352
696	3100	1347
697	3103	1342
698	3106	1337
699	3109	1332
700	3111	1327
701	3117	1323
702	3120	1318
703	3123	1313
704	3125	1307
705	3129	1303
706	3133	1298
707	3135	1293
708	3145	1291
709	3148	1285
710	3150	1280
711	3152	1275
712	3161	1272
713	3163	1267
714	3166	1262
715	3168	1256
716	3179	1255
717	3182	1250
718	3190	1247
719	3194	1242
720	3198	1237
721	3203	1233
722	3206	1228
723	3209	1223
724	3213	1218
725	3219	1215
726	3223	1210
727	3227	1206
728	3236	1203
729	3239	1198
730	3243	1193
731	3248	1189
732	3253	1184
733	3256	1179
734	3258	1174
735	3262	1170
736	3266	1165
737	3269	1160
738	3272	1155
739	3274	1150
740	3278	1145
741	3280	1140
742	3283	1135
743	3285	1130
744	3287	1125
745	3290	1120
746	3293	1115
747	3297	1110
748	3299	1105
749	3302	1100
750	3304	1095
751	3307	1090
752	3310	1086
753	3313	1080
754	3315	1075
755	3317	1070
756	3319	1065
757	3323	1060
758	3326	1056
759	3328	1051
760	3331	1046
761	3334	1041
762	3338	1037
763	3341	1032
764	3343	1027
765	3345	1022
766	3348	1017
767	3352	1012
768	3355	1007
769	3357	1002
770	3360	998
771	3362	993
772	3366	988
773	3368	983
774	3370	978
775	3373	973
776	3375	968
777	3377	963
778	3380	959
779	3383	954
780	3386	949
781	3388	944
782	3390	939
783	3393	934
784	3397	930
785	3399	925
786	3401	920
787	3404	915
788	3406	910
789	3414	907
790	3418	903
791	3422	898
792	3427	894
793	3430	890
794	3433	885
795	3435	880
796	3437	875
797	3441	871
798	3444	866
799	3446	861
800	3448	856
801	3451	852
802	3453	847
803	3457	842
804	3460	838
805	3462	833
806	3465	828
807	3468	824
808	3471	819
809	3474	815
810	3477	810
811	3480	805
812	3482	801
813	3486	796
814	3489	792
815	3491	787
816	3494	782
817	3496	778
818	3499	773
819	3503	768
820	3506	764
821	3508	759
822	3511	755
823	3514	750
824	3517	746
825	3520	741
826	3523	737
827	3525	732
828	3531	728
829	3534	723
830	3536	719
831	3539	714
832	3541	709
833	3544	705
834	3548	701
835	3552	696
836	3555	692
837	3558	687
838	3562	683
839	3564	679
840	3567	674
841	3569	669
842	3571	665
843	3575	660
844	3578	656
845	3581	651
846	3583	647
847	3585	642
848	3589	638
849	3593	634
850	3595	629
851	3598	625
852	3600	620
853	3603	615
854	3608	611
855	3611	607
856	3614	603
857	3618	598
858	3625	595
859	3628	590
860	3645	588
861	3648	584
862	3662	581
863	3671	577
864	3674	573
865	3678	569
866	3689	565
867	3694	561
868	3704	558
869	3708	554
870	3722	551
871	3726	547
872	3736	543
873	3741	539
874	3751	535
875	3755	531
876	3758	527
877	3766	523
878	3769	518
879	3774	514
880	3780	510
881	3783	506
882	3796	503
883	3813	500
884	3817	496
885	3821	491
886	3824	487
887	3834	483
888	3837	479
889	3847	475
890	3850	471
891	3854	466
892	3863	462
893	3867	458
894	3871	454
895	3877	450
896	3881	445
897	3884	441
898	3887	436
899	3893	432
900	3898	428
901	3910	424
902	3913	420
903	3915	415
904	3922	411
905	3926	407
906	3930	402
907	3938	399
908	3942	394
909	3944	390
910	3946	385
911	3951	381
912	3955	376
913	3957	372
914	3962	368
915	3965	363
916	3967	359
917	3970	354
918	3972	350
919	3978	345
920	3980	341
921	3982	336
922	3985	332
923	3987	327
924	3991	323
925	3994	319
926	3997	314
927	3999	310
928	4003	305
929	4007	301
930	4010	297
931	4012	292
932	4015	288
933	4018	283
934	4021	279
935	4023	275
936	4026	270
937	4029	266
938	4031	261
939	4035	257
940	4038	253
941	4041	248
942	4043	244
943	4045	240
944	4049	235
945	4052	231
946	4054	226
947	4057	222
948	4060	218
949	4064	213
950	4067	209
951	4069	205
952	4072	200
953	4074	196
954	4077	192
955	4080	187
956	4082	183
957	4085	179
958	4088	174
959	4091	170
960	4096	166
961	4099	161
962	4102	157
963	4104	153
964	4106	148
965	4110	144
966	4114	140
967	4118	136
968	4120	131
969	4125	127
970	4128	123
971	4131	119
972	4133	114
973	4135	110
974	4140	106
975	4143	101
976	4146	97
977	4148	93
978	4151	89
979	4158	84
980	4161	80
981	4164	76
982	4170	72
983	4173	67
984	4175	63
985	4178	59
986	4180	55
987	4183	50
988	4186	46
989	4190	42
990	4196	38
991	4202	33
992	4204	29
993	4207	25
994	4215	21
995	4218	16
996	4221	12
997	4223	8
998	4230	4
999	4233	0
